Date,JALSH Index
2000/12/07,7910.6
2000/12/08,8052.44
2000/12/11,8257.36
2000/12/12,8253.5
2000/12/13,8138.79
2000/12/14,8043.69
2000/12/15,7960.56
2000/12/18,8039.92
2000/12/19,8075
2000/12/20,8007.01
2000/12/21,7958.27
2000/12/22,8076.42
2000/12/27,8173.43
2000/12/28,8253.31
2000/12/29,8164.34
2001/01/02,8128.83
2001/01/03,7957.77
2001/01/04,8307.24
2001/01/05,8280.59
2001/01/08,8288.22
2001/01/09,8269.52
2001/01/10,8368.14
2001/01/11,8471.98
2001/01/12,8517.26
2001/01/15,8578.46
2001/01/16,8502.55
2001/01/17,8601.17
2001/01/18,8666.01
2001/01/19,8782.7
2001/01/22,8668.86
2001/01/23,8706.65
2001/01/24,8710.56
2001/01/25,8771.09
2001/01/26,8799.14
2001/01/29,8897.85
2001/01/30,8966.09
2001/01/31,8942.43
2001/02/01,9100.36
2001/02/02,9141.74
2001/02/05,9073.29
2001/02/06,9093.8
2001/02/07,9035.15
2001/02/08,9059.29
2001/02/09,9049.59
2001/02/12,9103.58
2001/02/13,9138.94
2001/02/14,9071.3
2001/02/15,9143.66
2001/02/16,9175.79
2001/02/19,9164.62
2001/02/20,9118.88
2001/02/21,9014.09
2001/02/22,9050.35
2001/02/23,8962.86
2001/02/26,8967.26
2001/02/27,8997
2001/02/28,8916.34
2001/03/01,8836.92
2001/03/02,8827.54
2001/03/05,8884.86
2001/03/06,9049.63
2001/03/07,9073.24
2001/03/08,9012.96
2001/03/09,8985.39
2001/03/12,8842.57
2001/03/13,8786.66
2001/03/14,8476.42
2001/03/15,8418.43
2001/03/16,8239.82
2001/03/19,8388.93
2001/03/20,8419.52
2001/03/22,8165.8
2001/03/23,8182.05
2001/03/26,8342.16
2001/03/27,8355.02
2001/03/28,8338.61
2001/03/29,8251.11
2001/03/30,8093.84
2001/04/02,7992.07
2001/04/03,7876.39
2001/04/04,7890.36
2001/04/05,8123.18
2001/04/06,8050.69
2001/04/09,8181.9
2001/04/10,8316.21
2001/04/11,8485.13
2001/04/12,8512.23
2001/04/17,8494.76
2001/04/18,8703.04
2001/04/19,8815.44
2001/04/20,8835.36
2001/04/23,8746.93
2001/04/24,8796.2
2001/04/25,8818.98
2001/04/26,8768.63
2001/04/30,8902.39
2001/05/02,8892.7
2001/05/03,8825.21
2001/05/04,8857.19
2001/05/07,8959.06
2001/05/08,8885.02
2001/05/09,8825.87
2001/05/10,8896.03
2001/05/11,8873.21
2001/05/14,8882.26
2001/05/15,8999.48
2001/05/16,9195.42
2001/05/17,9379.74
2001/05/18,9315.92
2001/05/21,9472.41
2001/05/22,9473.34
2001/05/23,9388.8
2001/05/24,9375.94
2001/05/25,9239.82
2001/05/28,9334.81
2001/05/29,9242.99
2001/05/30,9245.4
2001/05/31,9270.9
2001/06/01,9157.08
2001/06/04,9200.12
2001/06/05,9241.28
2001/06/06,9241.28
2001/06/07,9186.82
2001/06/08,9190.41
2001/06/11,9229.51
2001/06/12,9154.62
2001/06/13,9187.15
2001/06/14,9122.12
2001/06/15,9020.65
2001/06/18,9001.19
2001/06/19,9137.7
2001/06/20,9041.51
2001/06/21,9097.21
2001/06/22,9064.85
2001/06/25,9185.59
2001/06/26,9080.99
2001/06/27,9093.15
2001/06/28,9084.84
2001/06/29,9089.89
2001/07/02,9126.33
2001/07/03,9016.89
2001/07/04,8855.74
2001/07/05,8750.33
2001/07/06,8693.8
2001/07/09,8667.56
2001/07/10,8760.63
2001/07/11,8739.15
2001/07/12,8814.81
2001/07/13,8864.62
2001/07/16,8856.95
2001/07/17,8692.92
2001/07/18,8592.45
2001/07/19,8691.21
2001/07/20,8600.99
2001/07/23,8584.41
2001/07/24,8466.39
2001/07/25,8369.52
2001/07/26,8318.08
2001/07/27,8366.79
2001/07/30,8445.21
2001/07/31,8456.01
2001/08/01,8616.39
2001/08/02,8781.82
2001/08/03,8723.49
2001/08/06,8668.56
2001/08/07,8524.06
2001/08/08,8415.14
2001/08/10,8404.64
2001/08/13,8474.06
2001/08/14,8533.74
2001/08/15,8560.63
2001/08/16,8557.62
2001/08/17,8556.64
2001/08/20,8517.37
2001/08/21,8529.43
2001/08/22,8689.74
2001/08/23,8732.1
2001/08/24,8837.22
2001/08/27,9003.86
2001/08/28,8985.05
2001/08/29,8926.3
2001/08/30,8872.25
2001/08/31,8886.72
2001/09/03,8782.51
2001/09/04,8777.26
2001/09/05,8827.65
2001/09/06,8751.31
2001/09/07,8621.07
2001/09/10,8527.66
2001/09/11,8324.88
2001/09/12,7963.38
2001/09/13,8130.91
2001/09/14,7972.22
2001/09/17,7828.07
2001/09/18,7712.32
2001/09/19,7701.71
2001/09/20,7376.02
2001/09/21,7189.99
2001/09/25,7626.16
2001/09/26,7793.16
2001/09/27,7838.19
2001/09/28,7997.87
2001/10/01,7994.23
2001/10/02,8071.52
2001/10/03,8129.22
2001/10/04,8459.72
2001/10/05,8358.31
2001/10/08,8401.84
2001/10/09,8392.67
2001/10/10,8315.85
2001/10/11,8456.17
2001/10/12,8465.28
2001/10/15,8360.14
2001/10/16,8601.49
2001/10/17,8582.82
2001/10/18,8439.45
2001/10/19,8418.54
2001/10/22,8493.69
2001/10/23,8514.17
2001/10/24,8507.29
2001/10/25,8518.6
2001/10/26,8498.14
2001/10/29,8544.78
2001/10/30,8428.33
2001/10/31,8473.52
2001/11/01,8576.86
2001/11/02,8648.75
2001/11/05,8675.34
2001/11/06,8574.48
2001/11/07,8631.32
2001/11/08,8629.74
2001/11/09,8655.33
2001/11/12,8755.19
2001/11/13,8883.05
2001/11/14,9147.77
2001/11/15,9234.07
2001/11/16,9060.89
2001/11/19,9233.9
2001/11/20,9249.41
2001/11/21,9292.74
2001/11/22,9228.66
2001/11/23,9213.05
2001/11/26,9322.57
2001/11/27,9295.83
2001/11/28,9218.3
2001/11/29,9192.69
2001/11/30,9404.06
2001/12/03,9472.3
2001/12/04,9627.1
2001/12/05,9821.13
2001/12/06,9999.26
2001/12/07,9983.23
2001/12/10,10030.17
2001/12/11,9825.58
2001/12/12,9786.08
2001/12/13,9930.02
2001/12/14,10422.54
2001/12/18,10536.29
2001/12/19,10619.12
2001/12/20,11007.93
2001/12/21,10412.97
2001/12/24,10333.8
2001/12/27,10264.51
2001/12/28,10361.28
2001/12/31,10441.68
2002/01/02,10653.52
2002/01/03,10783.27
2002/01/04,10828.05
2002/01/07,10795.17
2002/01/08,10775.87
2002/01/09,10712.27
2002/01/10,10852.26
2002/01/11,10911.71
2002/01/14,10699.42
2002/01/15,10766.6
2002/01/16,10635.38
2002/01/17,10445.06
2002/01/18,10342.38
2002/01/21,10331.39
2002/01/22,10417.21
2002/01/23,10338.07
2002/01/24,10407.5
2002/01/25,10262.92
2002/01/28,10354.21
2002/01/29,10276.85
2002/01/30,10200.03
2002/01/31,10318.92
2002/02/01,10569.56
2002/02/04,10617.45
2002/02/05,10635.43
2002/02/06,10731.39
2002/02/07,10656.87
2002/02/08,10676.61
2002/02/11,10756.49
2002/02/12,10831.71
2002/02/13,10940.33
2002/02/14,11186.98
2002/02/15,11078.37
2002/02/18,11025.26
2002/02/19,10884.79
2002/02/20,10696.97
2002/02/21,10560.58
2002/02/22,10635.37
2002/02/25,10788.5
2002/02/26,10891.03
2002/02/27,11005.27
2002/02/28,10859.72
2002/03/01,10786.9
2002/03/04,10854.74
2002/03/05,10933.22
2002/03/06,10902.33
2002/03/07,11069.03
2002/03/08,11227.65
2002/03/11,11113.65
2002/03/12,11031.32
2002/03/13,11088.44
2002/03/14,11084.01
2002/03/15,11145.48
2002/03/18,11311.35
2002/03/19,11291.99
2002/03/20,11167.02
2002/03/22,11104.43
2002/03/25,11121
2002/03/26,11114.46
2002/03/27,11040.53
2002/03/28,10999.48
2002/04/02,11263.76
2002/04/03,11220.13
2002/04/04,11321.93
2002/04/05,11332.75
2002/04/08,11224.8
2002/04/09,11270.91
2002/04/10,11333.46
2002/04/11,11303.38
2002/04/12,11184.82
2002/04/15,11195.8
2002/04/16,11332.47
2002/04/17,11470.8
2002/04/18,11438.58
2002/04/19,11474.25
2002/04/22,11469.96
2002/04/23,11325.34
2002/04/24,11255.91
2002/04/25,11293.68
2002/04/26,11139.59
2002/04/29,11039.44
2002/04/30,10992.12
2002/05/02,11009.72
2002/05/03,11111.76
2002/05/06,11295.6
2002/05/07,11292.42
2002/05/08,11478.43
2002/05/09,11465.9
2002/05/10,11503.22
2002/05/13,11459.32
2002/05/14,11552.17
2002/05/15,11510.65
2002/05/16,11509.26
2002/05/17,11417.06
2002/05/20,11464.87
2002/05/21,11545.54
2002/05/22,11669.67
2002/05/23,11529.32
2002/05/24,11591.46
2002/05/27,11439.03
2002/05/28,11392.9
2002/05/29,11320.4
2002/05/30,11152.29
2002/05/31,11185.02
2002/06/03,11380.84
2002/06/04,11363.33
2002/06/05,11264.87
2002/06/06,11120.64
2002/06/07,11045.79
2002/06/10,11009.73
2002/06/11,10967.16
2002/06/12,11106.33
2002/06/13,10920.76
2002/06/14,10897.51
2002/06/18,10871.77
2002/06/19,10833.61
2002/06/20,10853.81
2002/06/21,10815.08
2002/06/24,10801.33
2002/06/25,10668.3
2002/06/26,10464.51
2002/06/27,10549.2
2002/06/28,10657.73
2002/07/01,10618.2
2002/07/02,10591.83
2002/07/03,10327.02
2002/07/04,10405.2
2002/07/05,10538.31
2002/07/08,10620.49
2002/07/09,10512.95
2002/07/10,10313.45
2002/07/11,10222.28
2002/07/12,10161.44
2002/07/15,10167.66
2002/07/16,10194.7
2002/07/17,10284.38
2002/07/18,10358.54
2002/07/19,10219.67
2002/07/22,9920.12
2002/07/23,9637.61
2002/07/24,9393.53
2002/07/25,9618.51
2002/07/26,9468.89
2002/07/29,9382.98
2002/07/30,9536.7
2002/07/31,9239.02
2002/08/01,9216.3
2002/08/02,9019.81
2002/08/05,8871.2
2002/08/06,9052.7
2002/08/07,9191.65
2002/08/08,9272.59
2002/08/12,9306.15
2002/08/13,9399.62
2002/08/14,9309.78
2002/08/15,9469.73
2002/08/16,9437.7
2002/08/19,9447.86
2002/08/20,9489.13
2002/08/21,9682.41
2002/08/22,9809.99
2002/08/23,9802.42
2002/08/26,9601.78
2002/08/27,9796.34
2002/08/28,9709.28
2002/08/29,9660.23
2002/08/30,9677.26
2002/09/02,9748.42
2002/09/03,9561.74
2002/09/04,9498.04
2002/09/05,9412.7
2002/09/06,9540.1
2002/09/09,9662.58
2002/09/10,9867.32
2002/09/11,9941.54
2002/09/12,9788.11
2002/09/13,9683.91
2002/09/16,9774.16
2002/09/17,9745.15
2002/09/18,9582.1
2002/09/19,9451.4
2002/09/20,9546.52
2002/09/23,9482.83
2002/09/25,9418.15
2002/09/26,9555.15
2002/09/27,9640.9
2002/09/30,9465.33
2002/10/01,9525.11
2002/10/02,9530.81
2002/10/03,9501.2
2002/10/04,9531.48
2002/10/07,9284.19
2002/10/08,9306.09
2002/10/09,9190.89
2002/10/10,9119.28
2002/10/11,9398.87
2002/10/14,9428.02
2002/10/15,9694.31
2002/10/16,9566.91
2002/10/17,9615.84
2002/10/18,9602.86
2002/10/21,9577.89
2002/10/22,9737.6
2002/10/23,9718.44
2002/10/24,9778.14
2002/10/25,9617.89
2002/10/28,9580.94
2002/10/29,9331.28
2002/10/30,9330.63
2002/10/31,9376.23
2002/11/01,9636.27
2002/11/04,9561.81
2002/11/05,9628.84
2002/11/06,9644.28
2002/11/07,9716.7
2002/11/08,9656.97
2002/11/11,9660.96
2002/11/12,9660.7
2002/11/13,9643.75
2002/11/14,9680.85
2002/11/15,9697.44
2002/11/18,9840.41
2002/11/19,9747.56
2002/11/20,9740.75
2002/11/21,9805.21
2002/11/22,9726.04
2002/11/25,9492.86
2002/11/26,9239.13
2002/11/27,9367.78
2002/11/28,9478.68
2002/11/29,9563.74
2002/12/02,9632.01
2002/12/03,9562.89
2002/12/04,9529.02
2002/12/05,9421.18
2002/12/06,9326.54
2002/12/09,9346.86
